Window_Size_Years,Hurst_Exponent
1,0.8374794143884846
2,0.6472080266508434
3,0.5328340530430443
4,0.720730907761937
5,0.7297957503645648
6,0.7013389031861468
7,0.6849428943249413
8,0.6825419703976381
9,0.6843069789019066
10,0.6796589801882278
