Data_Points,Hurst_Exponent
20,0.6183962892552999
30,0.6154076694493967
40,0.6214999481519334
50,0.7206719796808975
60,0.7297957503645648
80,0.6921137591126383
100,0.6859753096729143
120,0.6796589801882278
150,0.663422825332614
200,0.6574021673592249
250,0.6577095245677598
300,0.6512563883697572
400,0.6669734527038207
