Date,SPY
2010-01-04,85.76844787597656
2010-01-05,85.99549102783203
2010-01-06,86.05603790283203
2010-01-07,86.4192886352539
2010-01-08,86.70686340332031
2010-01-11,86.82794189453125
2010-01-12,86.0181884765625
2010-01-13,86.74471282958984
2010-01-14,86.97933197021484
2010-01-15,86.00305938720703
2010-01-19,87.07771301269531
2010-01-20,86.19225311279297
2010-01-21,84.53484344482422
2010-01-22,82.65040588378906
2010-01-25,83.07422637939453
2010-01-26,82.72606658935547
2010-01-27,83.11964416503906
2010-01-28,82.16604614257812
2010-01-29,81.2730484008789
2010-02-01,82.53689575195312
2010-02-02,83.53588104248047
2010-02-03,83.11964416503906
2010-02-04,80.55406951904297
2010-02-05,80.72056579589844
2010-02-08,80.1378402709961
2010-02-09,81.14439392089844
2010-02-10,80.9854507446289
2010-02-11,81.83304595947266
2010-02-12,81.76495361328125
2010-02-16,83.0515365600586
2010-02-17,83.44505310058594
2010-02-18,83.93698120117188
2010-02-19,84.1110610961914
2010-02-22,84.12615966796875
2010-02-23,83.10448455810547
2010-02-24,83.86886596679688
2010-02-25,83.75534057617188
2010-02-26,83.80830383300781
2010-03-01,84.67864990234375
2010-03-02,84.91327667236328
2010-03-03,84.98893737792969
2010-03-04,85.24624633789062
2010-03-05,86.46471405029297
2010-03-08,86.4798355102539
2010-03-09,86.62364959716797
2010-03-10,87.00958251953125
2010-03-11,87.37285614013672
2010-03-12,87.38043212890625
2010-03-15,87.40312194824219
2010-03-16,88.09943389892578
2010-03-17,88.62158203125
2010-03-18,88.57618713378906
2010-03-19,88.12784576416016
2010-03-22,88.59896087646484
2010-03-23,89.22209930419922
2010-03-24,88.78897094726562
2010-03-25,88.64457702636719
2010-03-26,88.59137725830078
2010-03-29,89.15372467041016
2010-03-30,89.21455383300781
2010-03-31,88.91055297851562
2010-04-01,89.51847076416016
2010-04-05,90.24800872802734
2010-04-06,90.46077728271484
2010-04-07,89.94403076171875
2010-04-08,90.2555923461914
2010-04-09,90.84835052490234
2010-04-12,90.99271392822266
2010-04-13,91.06110382080078
2010-04-14,92.09455871582031
2010-04-15,92.17057037353516
2010-04-16,90.70396423339844
2010-04-19,91.04591369628906
2010-04-20,91.85901641845703
2010-04-21,91.69185638427734
2010-04-22,91.96542358398438
2010-04-23,92.56575775146484
2010-04-26,92.2161865234375
2010-04-27,90.03524017333984
2010-04-28,90.71916198730469
2010-04-29,91.84383392333984
2010-04-30,90.28598022460938
2010-05-03,91.45626831054688
2010-05-04,89.30572509765625
2010-05-05,88.77376556396484
2010-05-06,85.82530212402344
2010-05-07,84.54862213134766
2010-05-10,88.272216796875
2010-05-11,88.02142333984375
2010-05-12,89.25252532958984
2010-05-13,88.14301300048828
2010-05-14,86.54718780517578
2010-05-17,86.59281158447266
2010-05-18,85.4148941040039
2010-05-19,84.9285659790039
2010-05-20,81.72168731689453
2010-05-21,82.91478729248047
2010-05-24,81.85088348388672
2010-05-25,81.93449401855469
2010-05-26,81.44056701660156
2010-05-27,84.16868591308594
2010-05-28,83.11235046386719
2010-06-01,81.71410369873047
2010-06-02,83.84185028076172
2010-06-03,84.13066864013672
2010-06-04,81.17456817626953
2010-06-07,80.16388702392578
2010-06-08,81.02259826660156
2010-06-09,80.58946228027344
2010-06-10,82.9451675415039
2010-06-11,83.34793090820312
2010-06-14,83.21874237060547
2010-06-15,85.1109619140625
2010-06-16,85.08055114746094
2010-06-17,85.21733093261719
2010-06-18,85.30973815917969
2010-06-21,85.06541442871094
2010-06-22,83.66048431396484
2010-06-23,83.4009017944336
2010-06-24,82.01889038085938
2010-06-25,82.36246490478516
2010-06-28,82.1028823852539
2010-06-29,79.56792449951172
2010-06-30,78.81204223632812
2010-07-01,78.46083068847656
2010-07-02,78.03325653076172
2010-07-06,78.54481506347656
2010-07-07,81.01864624023438
2010-07-08,81.82038116455078
2010-07-09,82.43119049072266
2010-07-12,82.48466491699219
2010-07-13,83.72918701171875
2010-07-14,83.7215805053711
2010-07-15,83.7444839477539
2010-07-16,81.43859100341797
2010-07-19,81.91964721679688
2010-07-20,82.82823181152344
2010-07-21,81.75165557861328
2010-07-22,83.57650756835938
2010-07-23,84.3018569946289
2010-07-26,85.17992401123047
2010-07-27,85.17229461669922
2010-07-28,84.62254333496094
2010-07-29,84.21025085449219
2010-07-30,84.1949691772461
2010-08-02,86.09615325927734
2010-08-03,85.68384552001953
2010-08-04,86.25651550292969
2010-08-05,86.16488647460938
2010-08-06,85.81365966796875
2010-08-09,86.27177429199219
2010-08-10,85.80602264404297
2010-08-11,83.4543228149414
2010-08-12,82.94277954101562
2010-08-13,82.69844818115234
2010-08-16,82.66024780273438
2010-08-17,83.67578125
2010-08-18,83.82846069335938
2010-08-19,82.37012481689453
2010-08-20,82.1028823852539
2010-08-23,81.78983306884766
2010-08-24,80.57581329345703
2010-08-25,80.88887786865234
2010-08-26,80.34674835205078
2010-08-27,81.59131622314453
2010-08-30,80.40785217285156
2010-08-31,80.40785217285156
2010-09-01,82.81295013427734
2010-09-02,83.5841293334961
2010-09-03,84.66835021972656
2010-09-07,83.71393585205078
2010-09-08,84.3018569946289
2010-09-09,84.6912612915039
2010-09-10,85.11882781982422
2010-09-13,86.06562805175781
2010-09-14,86.01219940185547
2010-09-15,86.34049224853516
2010-09-16,86.31759643554688
2010-09-17,86.34986114501953
2010-09-20,87.67017364501953
2010-09-21,87.49356842041016
2010-09-22,87.063720703125
2010-09-23,86.35749053955078
2010-09-24,88.13836669921875
2010-09-27,87.71621704101562
2010-09-28,88.02323913574219
