Quarter,Ticker,Stock,%,Change,Unnamed: 0,Income_Revenue,Income_Cost Of Goods Sold,Income_Gross Profit,Income_Research And Development Expenses,Income_SG&A Expenses,Income_Other Operating Income Or Expenses,Income_Operating Expenses,Income_Operating Income,Income_Total Non-Operating Income/Expense,Income_Pre-Tax Income,Income_Income Taxes,Income_Income After Taxes,Income_Other Income,Income_Income From Continuous Operations,Income_Income From Discontinued Operations,Income_Net Income,Income_EBITDA,Income_EBIT,Income_Basic EPS,Income_EPS - Earnings Per Share,Balance_Cash On Hand,Balance_Receivables,Balance_Inventory,Balance_Pre-Paid Expenses,Balance_Other Current Assets,Balance_Total Current Assets,"Balance_Property, Plant, And Equipment",Balance_Long-Term Investments,Balance_Goodwill And Intangible Assets,Balance_Other Long-Term Assets,Balance_Total Long-Term Assets,Balance_Total Assets,Balance_Total Current Liabilities,Balance_Long Term Debt,Balance_Other Non-Current Liabilities,Balance_Total Long Term Liabilities,Balance_Total Liabilities,Balance_Common Stock Net,Balance_Retained Earnings (Accumulated Deficit),Balance_Comprehensive Income,Balance_Other Share Holders Equity,Balance_Share Holder Equity,Balance_Total Liabilities And Share Holders Equity,CashFlow_Net Income/Loss,CashFlow_Total Depreciation And Amortization - Cash Flow,CashFlow_Other Non-Cash Items,CashFlow_Total Non-Cash Items,CashFlow_Change In Accounts Receivable,CashFlow_Change In Inventories,CashFlow_Change In Accounts Payable,CashFlow_Change In Assets/Liabilities,CashFlow_Total Change In Assets/Liabilities,CashFlow_Cash Flow From Operating Activities,"CashFlow_Net Change In Property, Plant, And Equipment",CashFlow_Net Change In Intangible Assets,CashFlow_Net Acquisitions/Divestitures,CashFlow_Net Change In Short-term Investments,CashFlow_Net Change In Long-Term Investments,CashFlow_Net Change In Investments - Total,CashFlow_Investing Activities - Other,CashFlow_Cash Flow From Investing Activities,CashFlow_Net Long-Term Debt,CashFlow_Net Current Debt,CashFlow_Debt Issuance/Retirement Net - Total,CashFlow_Net Common Equity Issued/Repurchased,CashFlow_Net Total Equity Issued/Repurchased,CashFlow_Total Common And Preferred Stock Dividends Paid,CashFlow_Financial Activities - Other,CashFlow_Cash Flow From Financial Activities,CashFlow_Net Cash Flow,CashFlow_Stock-Based Compensation,CashFlow_Common Stock Dividends Paid,StockPrice,Annual_Basic_EPS,PER,ROI,Operating_Margin,Gross_Margin,Net_Profit_Margin,ROE,Current_Ratio,Debt_to_Equity,EBITDA_Margin
2019 Q1,AAL,AMERICAN AIRLINES GROUP INC,0.70%,0,2019-03-31,10584,7970,2614,0,370,-1389,2239,375,-130,245,60,185,0,185,0,185,375,375,0.41,0.41,4505,1876,1666,607,0,8654,34410,0,6206,1386,52133,60787,19849,20660,6610,41574,61423,5,897,-5909,0,-636,60787,1686,2318,740,3058,73,0,0,-1267,-867,3815,-4214,0,0,957,0,957,1014,-2243,-230,0,-230,-1097,-1097,-178,-63,-1568,4,94,-178,31.33982468,3.11,10.07711404,0.003043414,0.035430839,0.246976568,0.017479214,-0.290880503,0.435991738,-96.57704403,0.035430839
2019 Q2,AAL,AMERICAN AIRLINES GROUP INC,0.68%,0,2019-06-30,11960,8525,3435,0,401,-1392,2282,1153,-271,882,220,662,0,662,0,662,1153,1153,1.49,1.49,5564,1943,1708,635,0,9850,34702,0,6196,1325,52117,61967,20123,21791,6616,41866,61989,5,1514,-5927,0,-22,61967,1686,2318,740,3058,73,0,0,-1267,-867,3815,-4214,0,0,957,0,957,1014,-2243,-230,0,-230,-1097,-1097,-178,-63,-1568,4,94,-178,32.27144623,3.4,9.491601832,0.010683106,0.096404682,0.287207358,0.055351171,-30.09090909,0.489489639,-2817.681818,0.096404682
2019 Q3,AAL,AMERICAN AIRLINES GROUP INC,0.55%,0,2019-09-30,11911,8616,3295,0,424,-1564,2487,808,-251,557,132,425,0,425,0,425,808,808,0.96,0.96,5326,1850,1800,596,0,9572,34619,0,6186,1290,51603,61175,19560,21625,6686,41455,61015,4,1894,-5946,0,160,61175,1686,2318,740,3058,73,0,0,-1267,-867,3815,-4214,0,0,957,0,957,1014,-2243,-230,0,-230,-1097,-1097,-178,-63,-1568,4,94,-178,26.78388023,3.55,7.544754995,0.006947282,0.067836454,0.276635043,0.035681303,2.65625,0.489366053,381.34375,0.067836454
2019 Q4,AAL,AMERICAN AIRLINES GROUP INC,0.50%,-1,2019-12-31,11313,7543,3770,0,809,-1718,3041,729,-157,572,158,414,0,414,0,414,729,729,0.94,0.93,3984,1750,1851,621,0,8206,34995,0,6175,1237,51789,59995,18311,21454,6875,41802,60113,4,2264,-6331,0,-118,59995,1686,2318,740,3058,73,0,0,-1267,-867,3815,-4214,0,0,957,0,957,1014,-2243,-230,0,-230,-1097,-1097,-178,-63,-1568,4,94,-178,28.57440376,3.8,7.519579938,0.006900575,0.064439141,0.333244939,0.036595068,-3.508474576,0.448145923,-509.4322034,0.064439141
2020 Q1,AAL,AMERICAN AIRLINES GROUP INC,0.29%,-1,2020-03-31,8515,7717,798,0,385,-2402,3347,-2549,-341,-2890,-649,-2241,0,-2241,0,-2241,-2549,-2549,-5.26,-5.26,3733,1020,1772,650,0,7175,34206,0,6150,1193,51405,58580,19213,21564,7093,42003,61216,4,-21,-6480,0,-2636,58580,-8885,2370,-1292,1078,538,0,0,1305,1217,-6543,-1607,0,0,-3378,0,-3378,643,-4342,8245,0,8245,2797,2797,-43,-5,10994,109,91,-43,12.18999958,-1.87,-6.518716353,-0.038255377,-0.299354081,0.09371697,-0.263182619,0.850151745,0.373445063,-23.22306525,-0.299354081
2020 Q2,AAL,AMERICAN AIRLINES GROUP INC,0.00%,-1,2020-06-30,1622,4445,-2823,0,57,893,-337,-2486,-173,-2659,-592,-2067,0,-2067,0,-2067,-2486,-2486,-4.82,-4.82,10352,879,1653,905,0,13789,33351,0,6140,1216,50755,64544,18000,28698,8024,49713,67713,5,-2088,-6463,0,-3169,64544,-8885,2370,-1292,1078,538,0,0,1305,1217,-6543,-1607,0,0,-3378,0,-3378,643,-4342,8245,0,8245,2797,2797,-43,-5,10994,109,91,-43,13.06999969,-8.18,-1.597799474,-0.032024665,-1.532675709,-1.740443896,-1.274352651,0.652256232,0.766055556,-21.3673083,-1.532675709
2016 Q1,AAPL,APPLE INC,0.83%,1,2016-03-31,50557,30636,19921,2511,3423,0,5934,13987,155,14142,3626,10516,0,10516,0,10516,16464,13987,0.48,0.48,55283,19824,2281,0,10204,87592,23203,177645,9092,7745,217685,305277,68265,69374,33859,106555,174820,29484,102021,-1048,0,130457,305277,45687,10505,9634,20139,527,217,2117,-2456,405,66231,-12734,-297,0,-30634,-1388,-32022,-924,-45977,22454,-397,22057,-30797,-30797,-12150,0,-20890,-636,4210,-12150,24.79169273,2.28,10.87354944,0.034447404,0.27665803,0.3940305,0.208002848,0.080608936,1.283117264,1.34005841,0.325652234
2016 Q2,AAPL,APPLE INC,1.12%,1,2016-06-30,42358,26252,16106,2560,3441,0,6001,10105,364,10469,2673,7796,0,7796,0,7796,12631,10105,0.36,0.36,61756,19042,1831,0,11132,93761,25448,169764,8767,7862,211841,305602,71486,68939,35572,107575,179061,30106,96542,-107,0,126541,305602,45687,10505,9634,20139,527,217,2117,-2456,405,66231,-12734,-297,0,-30634,-1388,-32022,-924,-45977,22454,-397,22057,-30797,-30797,-12150,0,-20890,-636,4210,-12150,21.87829399,2.17,10.08216313,0.025510304,0.238561783,0.380235139,0.184050238,0.061608491,1.311599474,1.415043346,0.298196327
2016 Q3,AAPL,APPLE INC,1.34%,0,2016-09-30,46852,29039,17813,2570,3482,0,6052,11761,427,12188,3174,9014,0,9014,0,9014,14309,11761,0.43,0.43,67155,29299,2132,0,8283,106869,27010,170430,8620,8757,214817,321686,79006,75427,36074,114431,193437,31251,96364,634,0,128249,321686,45687,10505,9634,20139,527,217,2117,-2456,405,66231,-12734,-297,0,-30634,-1388,-32022,-924,-45977,22454,-397,22057,-30797,-30797,-12150,0,-20890,-636,4210,-12150,26.01193619,2.1,12.38663628,0.028021114,0.251024503,0.380197217,0.192393068,0.070285148,1.352669418,1.508292462,0.30540852
2016 Q4,AAPL,APPLE INC,4.49%,1,2016-12-31,78351,48175,30176,2871,3946,0,6817,23359,821,24180,6289,17891,0,17891,0,17891,26346,23359,0.85,0.84,60452,27977,2712,0,12191,103332,26510,185638,8271,7390,227809,331141,84130,73557,37901,114621,198751,32144,100001,245,0,132390,331141,45687,10505,9634,20139,527,217,2117,-2456,405,66231,-12734,-297,0,-30634,-1388,-32022,-924,-45977,22454,-397,22057,-30797,-30797,-12150,0,-20890,-636,4210,-12150,26.78610802,2.12,12.63495661,0.054028344,0.298132762,0.385138671,0.228344246,0.135138606,1.228242006,1.501253871,0.336256078
2017 Q1,AAPL,APPLE INC,11.48%,1,2017-03-31,52896,32305,20591,2776,3718,0,6494,14097,587,14684,3655,11029,0,11029,0,11029,16429,14097,0.53,0.53,67101,20612,2910,0,11367,101990,27163,189740,8090,7549,232542,334532,73342,84531,39470,127108,200450,33579,100925,-422,0,134082,334532,48351,10157,10640,20797,-2093,-2723,8966,-9073,-4923,64225,-12451,0,-329,-33147,-395,-33542,-124,-46446,25162,3852,29014,-32345,-32345,-12769,-1874,-17974,-195,4840,-12769,33.36880875,2.17,15.37733122,0.032968445,0.266504083,0.389273291,0.208503479,0.082255635,1.390608383,1.494980683,0.310590593
2017 Q2,AAPL,APPLE INC,11.56%,1,2017-06-30,45408,27920,17488,2937,3783,0,6720,10768,540,11308,2591,8717,0,8717,0,8717,13122,10768,0.42,0.42,76759,22632,3146,0,10338,112875,29286,184757,8105,10150,232298,345173,81302,89864,38598,131446,212748,34445,98525,-545,0,132425,345173,48351,10157,10640,20797,-2093,-2723,8966,-9073,-4923,64225,-12451,0,-329,-33147,-395,-33542,-124,-46446,25162,3852,29014,-32345,-32345,-12769,-1874,-17974,-195,4840,-12769,33.59050751,2.23,15.06300785,0.025254003,0.23713883,0.385130374,0.191970578,0.065825939,1.38834223,1.606554654,0.288979915
2017 Q3,AAPL,APPLE INC,11.63%,1,2017-09-30,52579,32648,19931,2997,3814,0,6811,13120,797,13917,3203,10714,0,10714,0,10714,15604,13120,0.53,0.52,74181,35673,4855,0,13936,128645,33783,194714,0,18177,246674,375319,100814,97207,40415,140458,241272,35867,98330,-150,0,134047,375319,48351,10157,10640,20797,-2093,-2723,8966,-9073,-4923,64225,-12451,0,-329,-33147,-395,-33542,-124,-46446,25162,3852,29014,-32345,-32345,-12769,-1874,-17974,-195,4840,-12769,36.08734512,2.33,15.48813095,0.028546383,0.24952928,0.379067689,0.203769566,0.07992719,1.276062848,1.799906003,0.296772476
